day,timestamp,product,profit_and_loss
-2,12400,INTARIAN_PEPPER_ROOT,333.0
-2,12400,ASH_COATED_OSMIUM,76.0
-2,12500,INTARIAN_PEPPER_ROOT,893.0
-2,12500,ASH_COATED_OSMIUM,91.0
-2,12600,INTARIAN_PEPPER_ROOT,453.0
-2,12600,ASH_COATED_OSMIUM,91.0
-2,12700,INTARIAN_PEPPER_ROOT,893.0
-2,12700,ASH_COATED_OSMIUM,106.0
-2,12800,INTARIAN_PEPPER_ROOT,453.0
-2,12800,ASH_COATED_OSMIUM,96.0
-2,12900,INTARIAN_PEPPER_ROOT,373.0
-2,12900,ASH_COATED_OSMIUM,176.0
-2,13000,INTARIAN_PEPPER_ROOT,493.0
-2,13000,ASH_COATED_OSMIUM,120.0
-2,13100,INTARIAN_PEPPER_ROOT,533.0
-2,13100,ASH_COATED_OSMIUM,115.0
-2,13200,INTARIAN_PEPPER_ROOT,613.0
-2,13200,ASH_COATED_OSMIUM,122.0
-2,13300,INTARIAN_PEPPER_ROOT,533.0
-2,13300,ASH_COATED_OSMIUM,120.0
-2,13400,INTARIAN_PEPPER_ROOT,413.0
-2,13400,ASH_COATED_OSMIUM,122.0
-2,13500,INTARIAN_PEPPER_ROOT,533.0
-2,13500,ASH_COATED_OSMIUM,120.0
-2,13600,INTARIAN_PEPPER_ROOT,533.0
-2,13600,ASH_COATED_OSMIUM,120.0
-2,13700,INTARIAN_PEPPER_ROOT,533.0
-2,13700,ASH_COATED_OSMIUM,120.0
-2,13800,INTARIAN_PEPPER_ROOT,533.0
-2,13800,ASH_COATED_OSMIUM,123.0
-2,13900,INTARIAN_PEPPER_ROOT,453.0
-2,13900,ASH_COATED_OSMIUM,141.0
-2,14000,INTARIAN_PEPPER_ROOT,653.0
-2,14000,ASH_COATED_OSMIUM,141.0
-2,14100,INTARIAN_PEPPER_ROOT,613.0
-2,14100,ASH_COATED_OSMIUM,131.0
-2,14200,INTARIAN_PEPPER_ROOT,613.0
